Razão Social;Código;TICKER;CNPJ_FUNDO;COTA;ISIN;YEAR_DIV_AVERAGE
FDO INV IMOB - FII EDIFÍCIO GALERIA;EDGA;EDGA11;15.333.306/0001-37;3812055;BREDGACTF001;0.19825858383833336
FDO INV IMOB - FII ELDORADO;ELDO;ELDO11B;13.022.994/0001-99;787256;BRELDOCTF002;3.033554166666667
FDO INV IMOB - FII FLORIPA SHOPPING;FLRP;FLRP11;10.375.382/0001-91;55691;BRFLRPCTF006;7.151774507247692
FDO INV IMOB - FII HOSPITAL DA CRIANÇA;HCRI;HCRI11;04.066.582/0001-60;200000;BRHCRICTF006;2.3316563458333337
FDO INV IMOB - FII HOSPITAL NOSSA SRA DE LOURDES;NSLU;NSLU11;08.014.513/0001-63;1144800;BRNSLUCTF008;1.5948121573808332
FDO INV IMOB - FII HOTEL MAXINVEST;HTMX;HTMX11;08.706.065/0001-69;1118960;BRHTMXCTF000;0.8246268015466666
FDO INV IMOB - FII MAX RETAIL;MAXR;MAXR11;11.274.415/0001-70;59245;BRMAXRCTF009;14.830045714079999
FDO INV IMOB - FII NCH BRASIL RECEBÍVEIS IMOB;NCHB;NCHB11;18.085.673/0001-57;41000;BRNCHBCTF000;3.226627550414545
FDO INV IMOB - FII NOVO HORIZONTE;NVHO;NVHO11;17.025.970/0001-44;41494533;BRNVHOCTF003;0.05570742100250001
FDO INV IMOB - FII PARQUE D. PEDRO SHOPPING CENTER;PQDP;PQDP11;10.869.155/0001-12;238477;BRPQDPCTF004;14.256402716912499
FDO INV IMOB - FII PATEO BANDEIRANTES;PATB;;14.788.492/0001-36;1723197;BRPATBCTF004;1.3233333333333335
FDO INV IMOB - FII PRESIDENTE VARGAS;PRSV;PRSV11;11.281.322/0001-72;195000;BRPRSVCTF008;1.3646153846153846
FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE;RBRR;RBRR11;29.467.977/0001-03;2728868;BRRBRRCTF008;0.5656451219176923
FDO INV IMOB - FII SHOPPING JARDIM SUL;JRDM;JRDM11;14.879.856/0001-93;2223060;BRJRDMCTF002;0.46520893921153844
FDO INV IMOB - FII SHOPPING PARQUE D. PEDRO;SHDP;SHDP11B;07.224.019/0001-60;1639739;BRSHDPCTF007;6.310146892342307
FDO INV IMOB - FII SIA CORPORATE;SAIC;SAIC11B;17.311.079/0001-74;1429830;BRSAICCTF009;0.7425178750383332
FDO INV IMOB - FII TB OFFICE;TBOF;TBOF11;17.365.105/0001-47;10050000;BRTBOFCTF006;0.20067476943499998
FDO INV IMOB - FII TORRE ALMIRANTE;ALMI;ALMI11;07.122.725/0001-00;111177;BRALMICTF003;0.3711330468
FDO INV IMOB - FII TORRE NORTE;TRNT;TRNT11;04.722.883/0001-02;3935562;BRTRNTCTF013;0.5178404685233332
FDO INV IMOB - FII UBS (BR) OFFICE;RECT;;32.274.163/0001-59;4200000;;
FDO INV IMOB - FII UBS (BR) RECEB IMOB;UBSR;UBSR11;28.152.272/0001-26;1555780;BRUBSRCTF000;0.8282349993055556
FDO INV IMOB - FII VILA OLÍMPIA CORPORATE;VLOL;VLOL11;15.296.696/0001-12;1784828;BRVLOLCTF009;0.3792943977333334
FDO INV IMOB - OURINVEST FUNDO DE FUNDOS;OUFF;;30.791.386/0001-68;1000000;;
FDO INV IMOB - OURINVEST RE I;WTSP;WTSP11B;28.693.595/0001-27;992565;BRWTSPCTF002;0.5679233473222223
FDO INV IMOB - VBI LOGÍSTICO;LVBI;LVBI11;30.629.603/0001-18;3030000;BRLVBICTF002;0.529830655115
FDO INV IMOB BB VOTORANTIM C JARD CONT TOWER;BBVJ;BBVJ11;10.347.985/0001-80;2710000;BRBBVJCTF001;0.07042857142857144
FDO INV IMOB BR HOTEIS - FII;BRHT;BRHT11B;15.461.076/0001-91;1841677;;
FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS;BPFF;BPFF11;17.324.357/0001-28;2668860;BRBPFFCTF002;0.65126
FDO INV IMOB BRASIL VAREJO - FII;BVAR;BVAR11;21.126.204/0001-43;625540;BRBVARCTF006;7.828181818181818
FDO INV IMOB CAIXA CEDAE;CXCE;CXCE11B;10.991.914/0001-15;68518;BRCXCECTF004;18.734790444355834
FDO INV IMOB CAIXA TRX LOGÍSTICA RENDA;CXTL;CXTL11;12.887.506/0001-43;53597;BRCXTLCTF003;1.0487999328285715
FDO INV IMOB CENTRO TEXTIL INTERNACIONAL;CTXT;CTXT11;00.762.723/0001-28;2594279;BRCTXTCTF014;0.09253683333333335
FDO INV IMOB CJ - FII;CJFI;;23.582.914/0001-03;45009054;;
FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA;FLMA;FLMA11;04.141.645/0001-03;69033500;BRFLMACTF009;0.013566666666666666
