TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;SIT;VL_PATRIM_LIQ;RAZAO_SOCIAL;CODIGO;TICKER;COTA;ISIN;YEAR_DIV_AVERAGE;PRICE_MARKET;PRICE_COTA_PATRIM
F.I.I.;17.143.998/0001-86;CSHG GR LOUVEIRA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;EM FUNCIONAMENTO NORMAL;121134840,95;CSHG GR LOUVEIRA FDO DE INV IMOB - FII;GRLV;GRLV11;1073530;BRGRLVCTF002;0.69;97.86;112,84
F.I.I.;11.260.134/0001-68;CSHG JHSF PRIME OFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;EM FUNCIONAMENTO NORMAL;247117467,45;CSHG JHSF PRIME OFFICES FDO INV IMOB - FII;HGJH;HGJH11;1650000;BRHGJHCTF006;0.77;179.69;149,77
F.I.I.;11.728.688/0001-47;CSHG LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;EM FUNCIONAMENTO NORMAL;953905824,78;CSHG LOG�STICA FDO INV IMOB - FII;HGLG;HGLG11;7881340;BRHGLGCTF004;0.77;157.01;121,03
F.I.I.;09.072.017/0001-29;CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;EM FUNCIONAMENTO NORMAL;1118857150,13;CSHG REAL ESTATE FDO INV IMOB - FII;HGRE;HGRE11;7383100;BRHGRECTF006;0.76;154.00;151,54
F.I.I.;11.160.521/0001-22;CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;EM FUNCIONAMENTO NORMAL;272240012,96;CSHG RECEB�VEIS IMOBILI�RIOS FDO INV IMOB - FII;HGCR;HGCR11;2596486;BRHGCRCTF000;0.51;124.43;104,85
F.I.I.;29.641.226/0001-53;CSHG RENDA URBANA - FUNDO DE INVESTIMENTO IMOBILIARIO - FII;EM FUNCIONAMENTO NORMAL;153915345,97;CSHG RENDA URBANA - FDO INV IMOB - FII;HGRU;HGRU11;1500000;BRHGRUCTF002;0.65;115.80;102,61
F.I.I.;28.108.193/0001-18;DEL MONTE FUNDO DE INVESTIMENTO IMOBILIÁRIO;EM FUNCIONAMENTO NORMAL;8152278,69;DEL MONTE AJAX FDO INV IMOB - FII;DLMT;;7920000;;;0;1,03
F.I.I.;26.642.727/0001-66;DIAMANTE FUNDO DE INVESTIMENTO IMOBILIARIO;EM FUNCIONAMENTO NORMAL;107339701,16;DIAMANTE FDO INV IMOB;DAMT;DAMT11B;71350688;;;0;1,5
F.I.I.;10.522.648/0001-81;DOVEL FII;EM FUNCIONAMENTO NORMAL;60770787,83;DOVEL FDO INV IMOB;DOVL;DOVL11B;59466;BRDOVLCTF006;7.56;0;1021,94
F.I.I.;24.070.076/0001-51;EVEN PERMUTA KINEA FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO;EM FUNCIONAMENTO NORMAL;67270369,05;EVEN PERMUTA KINEA FII - FDO INV IMOB;KINP;KINP11;7281700;;;0;9,24
F.I.I.;17.329.029/0001-14;FATOR IFIX FUNDO DE INVESTIMENTO IMOBILIÁRIO;EM FUNCIONAMENTO NORMAL;33596509,1;FATOR IFIX FDO INV IMOB;FIXX;FIXX11;365972;BRFIXXCTF004;0.51;87.87;91,8
F.I.I.;11.664.201/0001-00;FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO;EM FUNCIONAMENTO NORMAL;227724786,7;FATOR VERITA FDO INV IMOB - FII;VRTA;VRTA11;2241799;BRVRTACTF008;0.94;136.46;101,58
F.I.I.;24.814.916/0001-43;FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO NESTPAR;EM FUNCIONAMENTO NORMAL;13803999,4;FDO INV IMOB NESTPAR - FII;NPAR;NPAR11;79340;BRNPARCTF003;0.87;121.69;173,99
F.I.I.;11.281.322/0001-72;FII - PRESIDENTE VARGAS;EM FUNCIONAMENTO NORMAL;79359893,96;FDO INV IMOB - FII PRESIDENTE VARGAS;PRSV;PRSV11;195000;BRPRSVCTF008;1.42;336.00;406,97
F.I.I.;07.789.135/0001-27;FII ANCAR IC;EM FUNCIONAMENTO NORMAL;1416175953,53;FDO INV IMOB - FII ANCAR IC;ANCR;ANCR11B;451113;BRANCRCTF001;30.84;2,500.00;3139,29
F.I.I.;11.179.118/0001-45;FII ANHANGUERA EDUCACIONAL;EM FUNCIONAMENTO NORMAL;121425051,6;FDO INV IMOB - FII ANHANGUERA EDUCACIONAL;FAED;FAED11;642168;BRFAEDCTF003;1.51;217.12;189,09
F.I.I.;10.347.985/0001-80;FII BB VOTORANTIM CIDADE JARDIM CONTINENTAL TOWER;EM FUNCIONAMENTO NORMAL;158413332,2;FDO INV IMOB BB VOTORANTIM C JARD CONT TOWER;BBVJ;BBVJ11;2710000;BRBBVJCTF001;0.07;57.11;58,46
F.I.I.;14.376.247/0001-11;FII BM BRASCAN LAJES CORPORATIVAS;EM FUNCIONAMENTO NORMAL;93097391,97;FDO INV IMOB - FII BM BRASCAN LAJES CORPORATIVAS;BMLC;BMLC11B;998405;BRBMLCCTF004;0.36;76.00;93,25
F.I.I.;11.602.654/0001-01;FII CAMPUS FARIA LIMA;EM FUNCIONAMENTO NORMAL;300265915,99;FDO INV IMOB - FII CAMPUS FARIA LIMA;FCFL;FCFL11;167000;BRFCFLCTF009;11.15;2,060.00;1798,0
F.I.I.;13.551.286/0001-45;FII CENESP;EM FUNCIONAMENTO NORMAL;277215460,27;FDO INV IMOB - FII CENESP;CNES;CNES11;2949248;BRCNESCTF001;0.18;75.26;94,0
F.I.I.;04.141.645/0001-03;FII CONTINENTAL SQUARE FARIA LIMA;EM FUNCIONAMENTO NORMAL;199728395,67;FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA;FLMA;FLMA11;69033500;BRFLMACTF009;0.01;3.1600;2,89
F.I.I.;13.966.653/0001-71;FII CYRELA THERA CORPORATE;EM FUNCIONAMENTO NORMAL;150567316,34;FDO INV IMOB - FII CYRELA THERA CORPORATE;THRA;THRA11;1472728;BRTHRACTF007;0.54;128.50;102,24
F.I.I.;05.562.312/0001-02;FII EDIFICIO ALMIRANTE BARROSO;EM FUNCIONAMENTO NORMAL;333402837,91;FDO INV IMOB - FII EDIF�CIO ALMIRANTE BARROSO;FAMB;FAMB11B;104800;BRFAMBCTF018;32.66;2,344.96;3181,32
